Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-02-06,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-06,Taiwan*,16,0,0,16,11,0,0,11,11,23604265,5,0,0,5,0
2020-02-06,Thailand,25,0,0,25,25,0,0,25,25,66484342,0,0,0,0,0
2020-02-06,US,11,0,0,11,11,0,0,11,11,329493716,0,0,0,0,0
2020-02-06,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-06,United Kingdom,2,0,0,2,2,0,0,2,2,66435600,0,0,0,0,0
2020-02-06,Vietnam,10,0,0,10,8,0,0,8,8,96208984,2,0,0,2,0
2020-02-07,Australia,15,0,0,15,14,0,0,14,13,25654023,1,0,0,1,1
2020-02-07,Belgium,1,0,0,1,1,0,0,1,1,11524454,0,0,0,0,0
2020-02-07,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-07,Canada,7,0,0,7,5,0,0,5,5,37966227,2,0,0,2,0
2020-02-07,China,34110,718,0,33392,30587,633,0,29954,27440,1401870440,3523,85,0,3438,3147
2020-02-07,Diamond Princess,61,0,0,61,,,,,,,,,,,
2020-02-07,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-07,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-07,Germany,13,0,0,13,12,0,0,12,12,83149300,1,0,0,1,0
2020-02-07,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-07,Italy,3,0,0,3,2,0,0,2,2,60243406,1,0,0,1,0
2020-02-07,Japan,25,0,0,25,22,0,0,22,22,126010000,3,0,0,3,0
2020-02-07,"Korea, South",24,0,0,24,23,0,0,23,19,51780579,1,0,0,1,4
2020-02-07,Malaysia,12,0,0,12,12,0,0,12,12,32726760,0,0,0,0,0
